               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.050804,            0.024343,                   0,             0.60275,             0.50526,             0.53489,             0.22842,            0.039778,            0.013556,                   0,           0.0047376,           0.0047376,            0.038538
                  39,            0.051775,            0.023507,                   0,             0.45528,             0.52632,             0.43191,             0.14591,            0.039916,            0.014093,                   0,           0.0047695,           0.0047695,             0.03687
                  40,            0.051182,            0.023414,                   0,             0.56853,             0.52632,             0.52111,             0.20587,            0.039979,            0.013454,                   0,           0.0047958,           0.0047958,            0.035196
                  41,            0.050729,             0.02248,                   0,             0.48991,             0.52105,             0.49157,             0.20559,            0.042126,             0.01314,                   0,           0.0048166,           0.0048166,            0.033517
                  42,            0.046806,            0.022445,                   0,             0.74801,             0.42632,             0.51502,             0.20681,             0.04246,            0.013132,                   0,           0.0048319,           0.0048319,            0.031832
                  43,            0.048812,            0.020938,                   0,             0.79978,             0.52632,             0.59981,             0.25078,            0.040035,            0.012026,                   0,           0.0048418,           0.0048418,            0.030142
                  44,            0.045171,             0.02222,                   0,             0.76368,             0.42632,             0.52658,              0.2365,            0.037697,             0.01358,                   0,           0.0048462,           0.0048462,            0.028446
                  45,            0.044384,            0.021876,                   0,             0.65368,             0.43158,              0.4954,             0.20784,            0.040993,             0.01541,                   0,           0.0048453,           0.0048453,            0.026745
                  46,            0.044894,            0.021357,                   0,             0.71661,             0.56316,             0.62849,              0.2658,            0.038246,            0.012727,                   0,           0.0048391,           0.0048391,            0.025039
                  47,            0.042891,            0.021344,                   0,             0.79513,             0.61579,             0.70568,             0.32717,            0.034598,            0.011492,                   0,           0.0048276,           0.0048276,            0.023328
                  48,            0.046659,            0.021965,                   0,             0.59564,             0.66675,             0.66968,             0.29974,            0.036464,            0.012775,                   0,           0.0048111,           0.0048111,            0.021611
                  49,            0.050365,            0.021375,                   0,             0.66008,             0.55263,             0.59686,             0.28456,            0.036999,            0.014407,                   0,           0.0047895,           0.0047895,             0.01989
                  50,            0.047321,             0.02065,                   0,             0.52959,             0.17368,             0.19529,             0.10009,            0.059623,            0.018257,                   0,            0.004763,            0.004763,            0.018163
                  51,            0.046466,            0.021382,                   0,             0.73687,             0.56316,             0.66995,             0.33238,            0.034969,            0.011993,                   0,           0.0047317,           0.0047317,            0.016432
                  52,            0.042555,            0.021114,                   0,             0.70438,             0.61449,             0.66133,             0.31098,            0.036465,            0.011834,                   0,           0.0046957,           0.0046957,            0.014696
                  53,             0.04489,            0.021183,                   0,             0.81162,                 0.6,             0.70872,             0.36354,            0.035625,            0.011947,                   0,           0.0046552,           0.0046552,            0.012955
                  54,            0.041274,            0.020344,                   0,             0.70939,             0.66809,              0.7368,             0.33318,            0.037253,            0.011125,                   0,           0.0046102,           0.0046102,             0.01121
                  55,            0.042033,            0.020635,                   0,             0.83417,             0.68947,             0.78558,              0.3398,            0.038182,            0.011186,                   0,            0.004561,            0.004561,            0.009461
                  56,            0.043349,             0.01904,                   0,             0.72876,             0.67878,             0.74044,             0.33823,            0.038774,            0.010815,                   0,           0.0045078,           0.0045078,           0.0077078
                  57,            0.044356,            0.020573,                   0,             0.71084,             0.71579,               0.756,             0.38117,            0.033832,            0.011761,                   0,           0.0044506,           0.0044506,           0.0059506
                  58,            0.039119,            0.019791,                   0,             0.87544,                 0.6,             0.73166,             0.35411,            0.034079,            0.011079,                   0,           0.0043809,           0.0043809,           0.0043809
                  59,            0.039518,            0.019436,                   0,             0.69941,             0.71053,              0.7402,              0.3691,            0.034388,            0.011319,                   0,           0.0043809,           0.0043809,           0.0043809
                  60,            0.039978,            0.019706,                   0,             0.74241,             0.65226,             0.69859,             0.36338,            0.032385,            0.011585,                   0,           0.0042445,           0.0042445,           0.0042445
                  61,            0.038324,            0.017473,                   0,             0.84171,              0.6157,             0.72741,             0.35984,            0.033491,            0.011004,                   0,           0.0041094,           0.0041094,           0.0041094
                  62,            0.036397,            0.019111,                   0,              0.8072,             0.70514,             0.77577,             0.40735,            0.031193,            0.010714,                   0,           0.0039757,           0.0039757,           0.0039757
                  63,            0.038776,            0.019285,                   0,              0.7839,             0.57368,             0.67629,             0.33412,            0.032793,            0.011647,                   0,           0.0038434,           0.0038434,           0.0038434
                  64,            0.035503,            0.019339,                   0,             0.91361,             0.67368,             0.82496,             0.45008,            0.030985,            0.010328,                   0,           0.0037128,           0.0037128,           0.0037128
                  65,            0.036848,            0.018471,                   0,             0.67489,             0.66842,             0.68133,             0.36024,            0.033579,            0.013413,                   0,            0.003584,            0.003584,            0.003584
                  66,            0.036919,             0.01805,                   0,             0.87255,             0.72067,             0.80228,             0.46526,            0.030322,            0.010218,                   0,            0.003457,            0.003457,            0.003457
                  67,            0.035044,            0.018627,                   0,             0.91724,             0.69998,              0.8124,             0.45945,            0.028212,            0.010243,                   0,           0.0033321,           0.0033321,           0.0033321
                  68,            0.034335,            0.017164,                   0,             0.87068,             0.71053,             0.80411,              0.4384,            0.029212,            0.010396,                   0,           0.0032093,           0.0032093,           0.0032093
                  69,            0.034498,            0.017783,                   0,             0.76507,             0.75789,             0.80008,             0.47866,             0.02709,            0.010533,                   0,           0.0030888,           0.0030888,           0.0030888
                  70,            0.033263,            0.017365,                   0,             0.85205,             0.75778,             0.80477,             0.48584,            0.027359,            0.010182,                   0,           0.0029706,           0.0029706,           0.0029706
                  71,             0.03305,            0.018102,                   0,             0.79564,             0.77866,             0.81826,             0.49767,            0.028273,            0.010017,                   0,            0.002855,            0.002855,            0.002855
                  72,            0.031938,            0.017657,                   0,             0.82203,             0.75789,             0.83428,             0.50924,             0.03022,           0.0096873,                   0,           0.0027419,           0.0027419,           0.0027419
                  73,            0.032187,            0.018152,                   0,             0.84326,             0.73684,             0.79574,             0.48671,            0.030453,            0.010528,                   0,           0.0026316,           0.0026316,           0.0026316
