               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.047044,            0.033614,                   0,             0.75485,             0.62864,             0.66814,             0.27623,            0.052624,            0.029983,                   0,           0.0066914,           0.0066914,            0.013191
                  39,            0.048491,            0.034288,                   0,             0.83351,             0.60922,             0.71261,             0.32826,            0.051185,            0.028821,                   0,           0.0067363,           0.0067363,            0.010836
                  40,            0.042238,            0.033217,                   0,             0.79989,             0.59223,             0.68023,             0.32614,            0.051573,            0.030352,                   0,           0.0067734,           0.0067734,           0.0084734
                  41,            0.043435,            0.032635,                   0,             0.74768,             0.63291,             0.67037,             0.31867,            0.049853,            0.030581,                   0,           0.0067555,           0.0067555,           0.0067555
                  42,            0.044302,            0.034551,                   0,             0.69046,              0.6335,             0.65569,             0.29287,            0.051524,            0.030186,                   0,           0.0067555,           0.0067555,           0.0067555
                  43,            0.043457,            0.034198,                   0,             0.75572,             0.63107,             0.69734,             0.29736,             0.05171,            0.029819,                   0,           0.0066191,           0.0066191,           0.0066191
                  44,            0.042628,            0.033179,                   0,             0.71606,             0.61823,             0.63205,             0.28708,            0.053884,            0.029999,                   0,           0.0064816,           0.0064816,           0.0064816
                  45,            0.039616,            0.033112,                   0,              0.8149,             0.60907,             0.68135,             0.34404,            0.049949,            0.030019,                   0,           0.0063432,           0.0063432,           0.0063432
                  46,            0.038974,            0.032282,                   0,             0.68771,              0.5452,             0.57115,             0.28254,             0.05175,            0.034364,                   0,            0.006204,            0.006204,            0.006204
                  47,            0.039614,            0.031402,                   0,             0.74616,             0.59223,             0.65656,             0.33909,            0.049717,            0.029574,                   0,            0.006064,            0.006064,            0.006064
                  48,            0.038287,            0.033407,                   0,             0.71616,             0.67476,             0.70763,             0.36536,            0.047397,            0.028452,                   0,           0.0059235,           0.0059235,           0.0059235
                  49,            0.038256,            0.032915,                   0,              0.7656,             0.68204,             0.73439,             0.37776,            0.047581,            0.027913,                   0,           0.0057826,           0.0057826,           0.0057826
                  50,              0.0383,            0.031596,                   0,             0.82091,             0.64528,             0.71134,             0.35938,            0.049961,            0.028331,                   0,           0.0056413,           0.0056413,           0.0056413
                  51,            0.037445,            0.030381,                   0,             0.85058,             0.67703,             0.75177,              0.4061,              0.0471,            0.028083,                   0,              0.0055,              0.0055,              0.0055
                  52,             0.03492,            0.030741,                   0,             0.70844,              0.6432,             0.69624,             0.35043,            0.049301,            0.029609,                   0,           0.0053587,           0.0053587,           0.0053587
                  53,            0.035504,             0.02989,                   0,             0.72472,              0.6966,             0.74258,             0.39278,            0.047633,            0.028205,                   0,           0.0052174,           0.0052174,           0.0052174
                  54,            0.036421,            0.030079,                   0,             0.78775,             0.65761,             0.72327,             0.38759,            0.047409,            0.028786,                   0,           0.0050765,           0.0050765,           0.0050765
                  55,            0.035177,            0.029548,                   0,             0.82862,             0.65777,             0.73432,              0.4015,            0.047075,            0.028543,                   0,            0.004936,            0.004936,            0.004936
                  56,            0.035255,            0.028095,                   0,             0.85293,              0.7038,             0.76859,             0.44826,            0.044725,            0.027011,                   0,            0.004796,            0.004796,            0.004796
                  57,            0.034442,            0.030131,                   0,             0.79339,             0.67233,             0.71974,             0.38627,            0.047859,            0.028704,                   0,           0.0046568,           0.0046568,           0.0046568
